# Error Pattern Configuration File
# Format: CATEGORY|PATTERN|DESCRIPTION
# Lines starting with # are comments

# Python Errors
PYTHON_ERROR|Traceback \(most recent call last\)|Python traceback/exception
PYTHON_ERROR|ImportError:|Python import error
PYTHON_ERROR|ModuleNotFoundError:|Python module not found
PYTHON_ERROR|AttributeError:|Python attribute error
PYTHON_ERROR|KeyError:|Python key error
PYTHON_ERROR|ValueError:|Python value error
PYTHON_ERROR|TypeError:|Python type error
PYTHON_ERROR|IndexError:|Python index error
PYTHON_ERROR|FileNotFoundError:|Python file not found error
PYTHON_ERROR|PermissionError:|Python permission error
PYTHON_ERROR|MemoryError:|Python memory error
PYTHON_ERROR|SyntaxError:|Python syntax error

# Memory Issues
MEMORY_ERROR|Out of memory|System out of memory
MEMORY_ERROR|Cannot allocate memory|Memory allocation failure
MEMORY_ERROR|MemoryError|Python memory error
MEMORY_ERROR|CUDA out of memory|GPU memory exhaustion
MEMORY_ERROR|slurmstepd.*Exceeded memory limit|SLURM memory limit exceeded
MEMORY_ERROR|Killed.*memory|Process killed due to memory

# File System Errors
FILE_ERROR|No such file or directory|File or directory not found
FILE_ERROR|Permission denied|File permission error
FILE_ERROR|Disk quota exceeded|Disk quota limit reached
FILE_ERROR|No space left on device|Disk space exhausted
FILE_ERROR|Input/output error|I/O error
FILE_ERROR|Read-only file system|Filesystem is read-only
FILE_ERROR|File exists|File already exists error
FILE_ERROR|Directory not empty|Directory not empty error

# Network Errors
NETWORK_ERROR|Connection refused|Network connection refused
NETWORK_ERROR|Connection timed out|Network connection timeout
NETWORK_ERROR|Name or service not known|DNS resolution failure
NETWORK_ERROR|Network is unreachable|Network unreachable
NETWORK_ERROR|Connection reset by peer|Connection reset
NETWORK_ERROR|SSL.*error|SSL/TLS error
NETWORK_ERROR|HTTP.*error|HTTP error
NETWORK_ERROR|URLError|URL error
NETWORK_ERROR|ConnectionError|Connection error

# SLURM Errors
SLURM_ERROR|slurmstepd.*error|SLURM step daemon error
SLURM_ERROR|CANCELLED.*DUE TO TIME LIMIT|Job cancelled due to time limit
SLURM_ERROR|CANCELLED.*DUE TO NODE FAILURE|Job cancelled due to node failure
SLURM_ERROR|CANCELLED.*BY USER|Job cancelled by user
SLURM_ERROR|Job exceeded memory limit|SLURM memory limit exceeded
SLURM_ERROR|Job exceeded time limit|SLURM time limit exceeded
SLURM_ERROR|Node failure|SLURM node failure
SLURM_ERROR|Batch job submission failed|SLURM job submission failed

# Process Errors
PROCESS_ERROR|Segmentation fault|Segmentation fault
PROCESS_ERROR|Bus error|Bus error
PROCESS_ERROR|Illegal instruction|Illegal instruction
PROCESS_ERROR|Floating point exception|Floating point exception
PROCESS_ERROR|Killed|Process killed
PROCESS_ERROR|Aborted|Process aborted
PROCESS_ERROR|Command not found|Command not found

# Data Processing Errors
DATA_ERROR|Invalid JSON|JSON parsing error
DATA_ERROR|CSV.*error|CSV processing error
DATA_ERROR|Parsing error|Data parsing error
DATA_ERROR|Malformed|Malformed data
DATA_ERROR|Corrupt|Data corruption
DATA_ERROR|Invalid format|Invalid data format
DATA_ERROR|Schema.*error|Data schema error
DATA_ERROR|Encoding.*error|Text encoding error

# Timeout Errors
TIMEOUT_ERROR|Timeout|Operation timeout
TIMEOUT_ERROR|timed out|Operation timed out
TIMEOUT_ERROR|Time limit exceeded|Time limit exceeded
TIMEOUT_ERROR|Deadline exceeded|Deadline exceeded

# Configuration Errors
CONFIG_ERROR|Configuration.*error|Configuration error
CONFIG_ERROR|Invalid.*config|Invalid configuration
CONFIG_ERROR|Missing.*parameter|Missing parameter
CONFIG_ERROR|Unknown.*option|Unknown option
CONFIG_ERROR|Invalid.*argument|Invalid argument

# Database Errors
DATABASE_ERROR|Connection.*database.*failed|Database connection failed
DATABASE_ERROR|SQL.*error|SQL error
DATABASE_ERROR|Database.*error|Database error
DATABASE_ERROR|Table.*not.*found|Database table not found
DATABASE_ERROR|Duplicate.*entry|Database duplicate entry

# Generic Errors (should be last to avoid overriding specific patterns)
GENERIC_ERROR|Error:|Generic error
GENERIC_ERROR|Exception:|Generic exception
GENERIC_ERROR|Failed:|Generic failure
GENERIC_ERROR|FATAL:|Fatal error
